id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_056417,056417,0564,state_co_240,rural,"","Bolombolo- Burgos-  Cabecera Municipal-  Caunzal-  El Cascajo-  El Chocho-  El Concilio-  El Golpe-  El León-  El Socorro-  Higuerón-  La Botija-  La Comia-  La Costa-  La Cristalina-  La Fotuta-  La Padilla-  La Raya-  La Selva-  La Sucia-  La Sucre-  La",True
postal_252610,252610,2526,state_co_750,urban,"","",True
postal_525550,525550,5255,state_co_971,urban,"","",True
postal_410003,410003,4100,state_co_802,urban,"Alberto Yepes- Antonio Nariño- Camino Real- Campo Real- Ciudad Salitre- Ciudadela Antonio Baraya- El Oasis- El Pedregal- El Triunfo- Enrique Olaya Herrera- Granja San Bernardo- Katakandru- La Amistad- La Palma II Etapa- La Pradera- La Rioja- La Victoria-","",True
postal_500004,500004,5000,state_co_884,urban,"","",True
postal_153880,153880,1538,state_co_474,urban,"","",True
postal_527520,527520,5275,state_co_929,urban,"","",True
postal_155218,155218,1552,state_co_468,rural,"","CACERES- EL MORRO-  La Pizarra",True
postal_054438,054438,0544,state_co_295,rural,"","Boqueron- Cabecera Municipal-  Comejenes-  Cuba-  El Cruce-  El Jordán-  El Olivo-  El Pescado-  El Popal-  El Silencio-  El Socorro-  El Tagual-  El Tricua-  La Aurora-  La Garrucha-  La Habana-  La India-  La Lora-  La Palmera-  La Tebaida-  Manizales-",True
postal_172001,172001,1720,state_co_538,urban,"","",True
postal_855030,855030,8550,state_co_1270,urban,"Bello Horizonte- Bosque- Brisas del Agua Clara- Brisas del Upía- Brisas del Upía 2- Centro- Fundadores- Morichal- Panorama- Paraíso- Progreso- Villa Clara- Villaluz","Caracoli- La Colmena-  La Libertad",True
postal_440007,440007,4400,state_co_839,rural,"","",True
postal_970009,970009,9700,state_co_1310,rural,"","",True
postal_545077,545077,5450,state_co_999,rural,"","Balcones- Cabecera Municipal-  Camporico-  Carmen-  Corazones-  El Silicio-  Fátima-  Filo Seco-  Helechal-  La Alianza-  La Armenia-  La Miel-  La Pajulia-  La Primavera-  Las Brisas-  Las Mercedes-  Los Pinos-  Moyitas-  Pío XII-  San Antonio-  San Isid",True
postal_180017,180017,1800,state_co_545,rural,"","",True
postal_683531,683531,6835,state_co_1064,urban,"","Cabecera Municipal- Salitre",True
postal_705070,705070,7050,state_co_1146,urban,"12 de Octubre- 7 de Agosto- 9 de Marzo- Balcones Del Río- Barranquillita- El Campano- El Carmen- Fátima- Gustavo Dajer- La Balsa- La Palma- Las Colinas- Las Flores- Las Mercedes- Millán Vargas- Pera Alonso- Sampumas- San José- San Juan de Dios- Santa Mart","",True
postal_193588,193588,1935,state_co_571,rural,"","",True
postal_051037,051037,0510,state_co_251,rural,"","El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito",True
