id,code,name
lavish_hr_payroll.cie10_b04,B04,Viruela de los monos
lavish_hr_payroll.cie10_b05,B05,Sarampion
lavish_hr_payroll.cie10_b06,B06,Rubeola
lavish_hr_payroll.cie10_b07,B07,Verrugas viricas
lavish_hr_payroll.cie10_b08,B08,Otras infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas no clasificadas en otra parte
lavish_hr_payroll.cie10_b09,B09,Infeccion viral no especificada caracterizada por lesiones de la piel y de las membranas mucosas
lavish_hr_payroll.cie10_b15,B15,Hepatitis aguda tipo A
lavish_hr_payroll.cie10_b16,B16,Hepatitis aguda tipo B
lavish_hr_payroll.cie10_b17,B17,Otras hepatitis virales agudas
lavish_hr_payroll.cie10_b18,B18,Hepatitis viral cronica
lavish_hr_payroll.cie10_b19,B19,Hepatitis viral sin otra especificacion
lavish_hr_payroll.cie10_b20,B20,Enfermedad por virus de la inmunodeficiencia humana (VIH) resultante en enfermedades infecciosas y parasitarias
lavish_hr_payroll.cie10_b21,B21,Enfermedad por virus de la inmunodeficiencia humana (VIH) resultante en tumores malignos
lavish_hr_payroll.cie10_b22,B22,Enfermedad por virus de la inmunodeficiencia humana (VIH) resultante en otras enfermedades especificadas
lavish_hr_payroll.cie10_b23,B23,Enfermedad por virus de la inmunodeficiencia humana (VIH) resultante en otras afecciones
lavish_hr_payroll.cie10_b24,B24,Enfermedad por virus de la inmunodeficiencia humana (VIH) sin otra especificacion
lavish_hr_payroll.cie10_b25,B25,Enfermedad debida a virus citomegalico
lavish_hr_payroll.cie10_b26,B26,Parotiditis infecciosa
lavish_hr_payroll.cie10_b27,B27,Mononucleosis infecciosa
lavish_hr_payroll.cie10_b30,B30,Conjuntivitis viral
lavish_hr_payroll.cie10_b33,B33,Otras enfermedades virales no clasificadas en otra parte
lavish_hr_payroll.cie10_b34,B34,Infeccion viral de sitio no especificado
lavish_hr_payroll.cie10_b35,B35,Dermatofitosis
lavish_hr_payroll.cie10_b36,B36,Otras micosis superficiales
lavish_hr_payroll.cie10_b37,B37,Candidiasis
lavish_hr_payroll.cie10_b38,B38,Coccidioidomicosis
lavish_hr_payroll.cie10_b39,B39,Histoplasmosis
lavish_hr_payroll.cie10_b40,B40,Blastomicosis
lavish_hr_payroll.cie10_b41,B41,Paracoccidioidomicosis
lavish_hr_payroll.cie10_b42,B42,Esporotricosis
lavish_hr_payroll.cie10_b43,B43,Cromomicosis y absceso feomicotico
lavish_hr_payroll.cie10_b44,B44,Aspergilosis
lavish_hr_payroll.cie10_b45,B45,Criptococosis
lavish_hr_payroll.cie10_b46,B46,Cigomicosis
lavish_hr_payroll.cie10_b47,B47,Micetoma
lavish_hr_payroll.cie10_b48,B48,Otras micosis no clasificadas en otra parte
lavish_hr_payroll.cie10_b49,B49,Micosis no especificada
lavish_hr_payroll.cie10_b50,B50,Paludismo (malaria) debido a Plasmodium falciparum
lavish_hr_payroll.cie10_b51,B51,Paludismo (malaria) debido a Plasmodium vivax
lavish_hr_payroll.cie10_b52,B52,Paludismo (malaria) debido a Plasmodium malariae
lavish_hr_payroll.cie10_b53,B53,Otro paludismo (malaria) confirmado parasitologicamente
lavish_hr_payroll.cie10_b54,B54,Paludismo (malaria) no especificado
lavish_hr_payroll.cie10_b55,B55,Leishmaniasis
lavish_hr_payroll.cie10_b56,B56,Tripanosomiasis africana
lavish_hr_payroll.cie10_b57,B57,Enfermedad de Chagas
lavish_hr_payroll.cie10_b58,B58,Toxoplasmosis
lavish_hr_payroll.cie10_b59,B59,Neumocistosis
lavish_hr_payroll.cie10_b60,B60,Otras enfermedades debidas a protozoarios no clasificadas en otra parte
lavish_hr_payroll.cie10_b64,B64,Enfermedad debida a protozoarios no especificada
lavish_hr_payroll.cie10_b65,B65,Esquistosomiasis (bilharziasis)
lavish_hr_payroll.cie10_b66,B66,Otras infecciones debidas a trematodos
lavish_hr_payroll.cie10_b67,B67,Equinococosis
lavish_hr_payroll.cie10_b68,B68,Teniasis
lavish_hr_payroll.cie10_b69,B69,Cisticercosis
lavish_hr_payroll.cie10_b70,B70,Difilobotriasis y esparganosis
lavish_hr_payroll.cie10_b71,B71,Otras infecciones debidas a cestodos
lavish_hr_payroll.cie10_b72,B72,Dracontiasis
lavish_hr_payroll.cie10_b73,B73,Oncocercosis
lavish_hr_payroll.cie10_b74,B74,Filariasis
lavish_hr_payroll.cie10_b75,B75,Triquinosis
lavish_hr_payroll.cie10_b76,B76,Anquilostomiasis y necatoriasis
lavish_hr_payroll.cie10_b77,B77,Ascariasis
lavish_hr_payroll.cie10_b78,B78,Estrongiloidiasis
lavish_hr_payroll.cie10_b79,B79,Tricuriasis
lavish_hr_payroll.cie10_b80,B80,Enterobiasis
lavish_hr_payroll.cie10_b81,B81,Otras helmintiasis intestinales no clasificadas en otra parte
lavish_hr_payroll.cie10_b82,B82,Parasitosis intestinal sin otra especificacion
lavish_hr_payroll.cie10_b83,B83,Otras helmintiasis
lavish_hr_payroll.cie10_b85,B85,Pediculosis y ftiriasis
lavish_hr_payroll.cie10_b86,B86,Escabiosis
lavish_hr_payroll.cie10_b87,B87,Miasis
lavish_hr_payroll.cie10_b88,B88,Otras infestaciones
lavish_hr_payroll.cie10_b89,B89,Enfermedad parasitaria no especificada
lavish_hr_payroll.cie10_b90,B90,Secuelas de tuberculosis
lavish_hr_payroll.cie10_b91,B91,Secuelas de poliomielitis
lavish_hr_payroll.cie10_b92,B92,Secuelas de lepra
lavish_hr_payroll.cie10_b94,B94,Secuelas de otras enfermedades infecciosas y parasitarias y de las no especificadas
lavish_hr_payroll.cie10_b95,B95,Estreptococo y estafilococo como causa de enfermedades clasificadas en otros capitulos
lavish_hr_payroll.cie10_b96,B96,Otros agentes bacterianos como causa de enfermedades clasificadas en otros capitulos
lavish_hr_payroll.cie10_b97,B97,Agentes virales como causa de enfermedades clasificadas en otros capitulos
lavish_hr_payroll.cie10_b99,B99,Otras enfermedades infecciosas y las no especificadas
lavish_hr_payroll.cie10_c00,C00,Tumor maligno del labio
lavish_hr_payroll.cie10_c01,C01,Tumor maligno de la base de la lengua
lavish_hr_payroll.cie10_c02,C02,Tumor maligno de otras partes y de las no especificadas de la lengua
lavish_hr_payroll.cie10_c03,C03,Tumor maligno de la encia
lavish_hr_payroll.cie10_c04,C04,Tumor maligno del piso de la boca
lavish_hr_payroll.cie10_c05,C05,Tumor maligno del paladar
